TWEET,true_emoji,pred_emoji
What do you do when your #flight gets #delayed? Buy yourself a #starbucks #frappe,grin,sob
"That's what the subway maps are for. You know, like the one you snapchatted..",smirk,heart_eyes
I want Starbucks,heart_eyes,weary
"get that Starbucks coffee at this liquor store, caramel flavor. It's like synthetic cocaine",sob,weary
YES ! I'm so hungry,weary,wink
oh I bet,weary,wink
I. SWEAR. TO. GOD. IT. IS.,sob,wink
oh shit haha I bet it was worth it though!,flushed,wink
I should've bet on this game cause warren bout to win !,blush,sob
Bet y'all ain't know I had a girlfriend,heart_eyes,weary
Damn!,flushed,heart_eyes
Starbucks has almond milk now,weary,heart_eyes
Someone bring me Starbucks,blush,weary
This subway good asf,heart_eyes,yum
I bet,wink,weary
I bet ️,relaxed,weary
I want Starbucks,flushed,weary
10 UNDERCOVER STARBUCKS DRINKS YOU NEED TO TRY,heart_eyes,blush
Me too,flushed,weary
I bet you would,wink,smirk
I need some Starbucks right now,sob,weary
when Starbucks sends you on a supply run to another store and its Tanas store and walks in,heart_eyes,weary
i bet,heart_eyes,weary
Can't relate,sob,smirk
mcdonalds,blush,yum
I want some Starbucks,smirk,weary
most def ask kemaria I bet she agree,wink,sob
I bet.,blush,smirk
facts,wink,sob
I want some Starbucks,smirk,weary
really want some Starbucks,weary,sob
"Aw, take a picture",heart_eyes,blush
Tyrique better bring me some McDonalds,weary,sob
chanel vs walmart,flushed,yum
I want some starbucks,yum,weary
Holy,flushed,sob
"lmao yall wont enn make da playoffs, tryin bet tonight or u wan see how your mob lookin first",grin,sob
Starbucks kinda morning,blush,heart_eyes
you ain't gotta like me bet you know my name though,smirk,wink
awe thanks️ &amp; aye bet !,relaxed,blush
"Good Morning! So if you see want, pray on it and own it! @ Starbucks",wink,sob
"Tambay mode. (@ Starbucks Coffee in Imus City, Cavite)",grin,sob
I bet you won't follow me,blush,wink
I hate going to Walmart at night,weary,sob
I could really go for some Starbucks right now.,sob,weary
I bet!,weary,blush
cheesing like a mf . BET THE MONEY MAKE HER DO IT !!,sob,blush
Brotherly Love is on BET,weary,blush
I want Subway,yum,weary
Subway cookies,grin,yum
McDonald's,smirk,yum
I bet,sob,weary
A simple 2 hours to organize my thoughts... #plan #organize #actionnextweek @ Subway Shopwise…,yum,sob
ay bet,wink,heart_eyes
You bet,heart_eyes,wink
THE BET AWARDS TONIGHT ?!,flushed,sob
Eh? Windy yes &amp; bad rips but I've seen worse Bet u have too,wink,sob
I bet they are,smirk,grin
Go there only for em,heart_eyes,weary
Tell me about it,wink,smirk
Bunny: I bet yours are too!,heart_eyes,wink
Who doesn't love winning a bet?,smirk,sob
chna starbucks subah alsalem oppened?,heart_eyes,weary
I bet!,grin,blush
Obsessed with the mango black tea lemonade from Starbucks,yum,heart_eyes
You bet!,wink,blush
always satisfied with subway,yum,weary
I bet,grin,weary
i bet,sob,weary
Mf's got so much negative shot to say bout ya it's crazy but I bet they never said my bag was funny tho,smirk,sob
Ight bet,blush,smirk
I want Starbucks,yum,weary
I'm about to go to Starbucks,grin,yum
I love the smell of subway,yum,heart_eyes
No need to mute. I'm sure she blocked before anyone could respond.,smirk,sob
Ight bet,sob,smirk
bet it up,wink,relaxed
I want Starbucks,heart_eyes,weary
Sweet tea from is the holy grail of beverages,weary,heart_eyes
if I ever get to come but bet !! I really want some,sob,blush
Brotherly Love on BET,weary,blush
Starbucks,heart_eyes,yum
need,weary,sob
I get to drink it for the two of us everyday,blush,sob
GUYS STARBUCKS NOW HAS ALMOND MILK ONG,sob,heart_eyes
You bet,smirk,wink
If I call him up I bet you he come,wink,smirk
YASSSSSS my girl ! #OneShot,grin,heart_eyes
You bet!,smirk,blush
Make out with Blake. I bet that would blow up.,sob,wink
I bet you do,wink,smirk
Subway cookies are the best,yum,heart_eyes
saw at Walmart and it made my day,heart_eyes,sob
I've had so much energy today!! Guess that's what happens when you wake up in a good mood &amp; drink a venti Starbucks #gettingshitdone,blush,sob
Starbucks is my shit,wink,weary
"""How may I take your order"" ass hoes",sob,blush
this girl at Starbucks just made my day,blush,heart_eyes
alright bet,sob,blush
Starbucks is love,heart_eyes,blush
you bet,smirk,wink
I want subway,blush,weary
I haven't had Starbucks in the longest,sob,weary
"Nigga said ""its BET weekend""",weary,sob
you bet I do,heart_eyes,wink
Oh bet,blush,smirk
This gone be me and my girl at prom bet,wink,blush
Ight bet,blush,smirk
When the person in front of me in the Starbucks line paid for my order!! #PayItForward,heart_eyes,sob
"@ Starbucks Coffee, Sm City Gensan",grin,blush
I bet her braid outs fire.,flushed,sob
Subway date,wink,yum
bet! Love &amp; miss you too fam,sob,blush
Literally me everyday,weary,sob
and I bet them weak shits gone sell out the first day,sob,weary
"""just what I needed "" *with a picture of Starbucks*",yum,heart_eyes
You bet,blush,wink
I bet it's good,wink,weary
I want a pumpkin spice latte from Starbucks,weary,sob
Subway,grin,yum
Avery from Subway,heart_eyes,weary
aww thats cool~ i bet y'all are hyper haha ahh i see thanks,grin,sob
starbucks sounds so good rn,yum,weary
Bet that wasnt scripted,smirk,sob
I want some Starbucks,smirk,weary
SUBWAY I LOVE YOU,heart_eyes,yum
oh bet,heart_eyes,smirk
hell yeah,wink,yum
Yes and we are also the same centimetres of height. I understand you.,blush,sob
bet say less,yum,grin
Someone bring me Starbucks,flushed,weary
i bet you do,sob,wink
I want Starbucks,yum,weary
I bet she's even more beautiful in person,weary,heart_eyes
This subway about to give me life,yum,weary
I need to go to Starbucks,smirk,weary
you wanna bet,grin,smirk
oh okay bet,sob,wink
Gotta love free Starbucks,wink,yum
you bet,heart_eyes,wink
Really want Starbucks,sob,weary
Want Starbucks,heart_eyes,weary
You bet!!,grin,wink
bet that!,blush,wink
"I bet you'd love to see that one properly, it's shiny blue and green in the light",heart_eyes,blush
Someone bring me Starbucks to work rn,sob,weary
I bet he deleted that tweet,sob,blush
Aiight bet..,heart_eyes,sob
This just shows Beyonce loves MTV more than BET ...She is actually walking the red carpet #VMAs,heart_eyes,sob
We have the best Starbucks and cafe on campus like yes,sob,heart_eyes
ight bet,blush,smirk
iight bet,blush,wink
thank you babes so are you and that's a bet,heart_eyes,blush
pumpkin back at Dunkin wait all year for this,heart_eyes,sob
Whaaaaat,heart_eyes,sob
"when in doubt &amp; broke, but dominos pizza anyways",blush,sob
I need Starbucks,yum,weary
I bet he will,grin,blush
"bet, it's a date",grin,sob
I need some subway,yum,weary
Really,weary,sob
When they are building a Starbucks right next to Churchill &gt;&gt;&gt;,heart_eyes,sob
i bet,sob,weary
I bet,blush,weary
Either but I bet batangas #TheMostBeautifulFinale #PushAwardsLizQuens,heart_eyes,blush
Craving Starbucks,yum,weary
aight bet,grin,blush
u bet,smirk,wink
Subway,heart_eyes,yum
I BET,sob,weary
you bet I will be,blush,smirk
When I need starbucks,smirk,weary
Starbucks time,grin,yum
I bet she was,weary,sob
way ahead of you,yum,heart_eyes
bet ko un tomboyish Yoon Eun Hye b4 Princess Hours.YEH &amp; Jong Kook in Running Man #ALDUBMakeItReal https:/…,heart_eyes,sob
Starbucks,heart_eyes,yum
I want Starbucks,yum,weary
yes that's a bet ️we in the same dorm and everything,relaxed,sob
I want Starbucks,heart_eyes,weary
lmao i bet,smirk,sob
bet I got you,smirk,blush
. Bet baby boy!,heart_eyes,blush
I bet,sob,weary
I bet,smirk,weary
aww bet it's on,grin,wink
"only justin can make everything look like a photoshoot, just by walking from the subway",heart_eyes,weary
i bet,blush,weary
someone should hook me up with an iTunes and/or Starbucks gift card for my birthday,yum,heart_eyes
Bet that wet that,wink,blush
i bet you are,smirk,wink
i bet,smirk,weary
Okay I officially make too many Starbucks runs but idc,yum,heart_eyes
mmm I'll bet they are! How do we get access to the vids? or through the naughty lady?,wink,sob
bet. &amp; food,weary,blush
Wanna bet?,weary,smirk
u bet we do,grin,wink
I want to wear hats and scarves and boots! And let's not forget about peppermint mocha from Starbucks,heart_eyes,sob
i want subway,yum,weary
Really want Starbucks rn,weary,heart_eyes
Beautiful black women I bet that bitch look better red,heart_eyes,grin
And I won my bet,smirk,blush
swear??? Bet and thanks kid ️,relaxed,blush
"I bet you was, that's cute",heart_eyes,sob
Girl,heart_eyes,weary
thats a bet,blush,wink
bet that up,grin,wink
That Subway Hit The Spot,weary,yum
subway,sob,yum
bet why,sob,weary
I'm craving Starbucks rn,heart_eyes,sob
i bet,smirk,weary
I bet that feels good,blush,smirk
Lmao bet,grin,wink
"when in doubt &amp; broke, but dominos pizza anyways",blush,sob
"yeah, ur mum and dad are great in bed. #3some",smirk,blush
miss little moments like this I bet you're one happy momma getting it on video!!!,heart_eyes,sob
Can't wait!!!,heart_eyes,blush
bet girl,blush,smirk
bet lol,yum,grin
I bet it was,smirk,wink
I bet y'all are happy we have police now,wink,blush
okay bet,heart_eyes,blush
I bet,heart_eyes,weary
Police standoff with ???? Lord they bet not hurt my baby!! Please just follow their instructions!,weary,sob
I want subway,yum,weary
Brotherly Love is on BET,sob,blush
ok bet ️,relaxed,blush
lol bet,wink,blush
I want some Starbucks,smirk,weary
"I bet $100,000,000 he won't follow me",smirk,sob
I want some Starbucks,yum,weary
Starbucks ️,relaxed,yum
i peep that new vid with kelly and maddy,smirk,sob
I swear!!!,heart_eyes,weary
Subway,heart_eyes,yum
Factss,wink,sob
I bet,sob,weary
No way,sob,flushed
Bet boo,flushed,wink
You bet ️,relaxed,wink
When you come back from class and your girlfriend is waiting for you with some iced coffee,heart_eyes,sob
We just got one down the street,heart_eyes,sob
you bet,heart_eyes,wink
I want some subway.,weary,yum
Eh? Windy yes &amp; bad rips but I've seen worse Bet u have too,wink,sob
I bet,sob,weary
Shit I bet,wink,blush
Starbucks ️,relaxed,yum
What do you order at Starbucks? I get the Cotton Candy Frappuccino,yum,weary
ard bet️,relaxed,blush
I bet,blush,weary
I bet,smirk,weary
Damn,weary,flushed
no bet,smirk,flushed
Lexus making me send this damn message &amp; I hate doing shit like this,weary,sob
My life consists of harassing to get me Starbucks,sob,weary
mmm I'll bet they are! How do we get access to the vids? or through the naughty lady?,wink,sob
who wanna bet she don't leave?,smirk,blush
bet you won't @ him,smirk,wink
You can bet on it️,relaxed,wink
Starbucks,heart_eyes,yum
I bet I know who,wink,smirk
lol alright bet,blush,smirk
bet you will,wink,sob
"all mine now, bet",yum,sob
I bet you're so lucky,sob,weary
Can't relate,smirk,sob
I want some Starbucks ️,relaxed,weary
bet say no more ️,relaxed,blush
I want Starbucks,sob,weary
lol I bet,sob,blush
I want some sheetz,weary,yum
9: A BITCH JUST WANTED A FUCKING MCFLURRY y'all broke my heart for real,weary,sob
Subway has the best cookies,weary,yum
craving Starbucks,sob,weary
goals,weary,sob
"I might be ugly, but I bet my bitch ain't",heart_eyes,smirk
please,blush,weary
i want some subway .,weary,yum
Yes you are,heart_eyes,blush
"Bet nobody that you've been with even know you a freak, right? You know you only do that with me",smirk,wink
I bet ! I may come out for homecoming though you'll see me soon though &amp; we can TU !,smirk,blush
I want Starbucks,heart_eyes,weary
I bet you thought I forgot,blush,sob
Can you tell what is the soap I'm going to make? I bet you know... #soap #soapcolor #micas…,wink,sob
Amen,wink,weary
Craving a tea from Starbucks,sob,weary
I keep forgetting its a 3 day weekend bet,sob,weary
I bet so,sob,wink
"""Streamlife we don't play"" omg can I just faint right now this guys just dropped the freshest bet of all time like dang",heart_eyes,sob
We are pregnant,heart_eyes,blush
I can't stop looking at this,heart_eyes,weary
I bet,wink,weary
I bet,sob,weary
you bet it is,heart_eyes,wink
Subway pizzas,heart_eyes,yum
starbucks,wink,yum
Bring me some Starbucks,blush,sob
I really want Starbucks,sob,weary
Walmart selling Jordans now,weary,sob
lol I bet,yum,blush
I bet you do,smirk,wink
. Bet baby boy!,heart_eyes,blush
I want Starbucks,heart_eyes,weary
lol bet,yum,blush
I need Starbucks ASAP,sob,weary
I bet you got hella hoes that night,sob,blush
Got my Starbucks,blush,yum
My remedy 2 stress shopping,grin,sob
I want subway,sob,weary
das a bet,wink,blush
"fuck starbucks, se me antoja un ponche with this weather",sob,weary
How this nigga get Starbucks and a phone in jail,sob,weary
bring me Starbucks,wink,weary
broo bet !! You know if she going I'm going for sure,sob,blush
lmfao bet,grin,blush
Starbucks,weary,yum
Ight bet,wink,smirk
alright bet,wink,blush
"I have the best bff ️ she brought me Starbucks, flowers, and balloons love u lots",relaxed,heart_eyes
I got subway,grin,yum
mcflurry bes,heart_eyes,sob
let's bet,blush,smirk
I bet #GBBOTwitterBakeAlong,heart_eyes,blush
ooo bet,smirk,weary
I bet not!,grin,wink
want Starbucks,yum,weary
alrighty bet,grin,blush
I want some Starbucks,yum,weary
starbucks,heart_eyes,yum
2 morning classes tomorrow.. starbucks is a must,sob,weary
subway cookies,heart_eyes,yum
I bet you'd love to live this lifestyle,blush,smirk
i bet the neighbors know my name,wink,smirk
bet boo,weary,wink
me &amp; made a bet &amp; ima win.,blush,wink
I bet he is,heart_eyes,yum
you bet,heart_eyes,wink
I bet it is,weary,wink
starbucks sounds so good rn,yum,weary
I want some subway,blush,weary
I wish someone would bring me Starbucks,weary,sob
And I bet you would too lol,grin,wink
Ight bet,yum,smirk
I want some subway,yum,weary
I need friends like this,sob,weary
I get to drink it for the two of us everyday,blush,sob
"Is it weird that I have never been to a Dunkin donuts, a Starbucks, or a chipotle?",sob,heart_eyes
Starbucks,heart_eyes,yum
that's a bet,smirk,blush
i got starbucks,heart_eyes,yum
bet on it,smirk,blush
Some Starbucks would be nice,weary,yum
ight bet,wink,smirk
So handsome,heart_eyes,sob
I need subway,sob,weary
(@ Subway),heart_eyes,yum
bet it up,sob,wink
Subway,heart_eyes,yum
@ Starbucks,yum,blush
I bet!!,sob,weary
Angel from Walmart,heart_eyes,sob
ight bet,blush,relaxed
SUBWAY Cookies,heart_eyes,yum
I want some Starbucks,yum,weary
bet that up,sob,smirk
does anyone wanna be a real one and buy me mcdonalds breakfast,sob,weary
Fuckin cryin,weary,sob
I haven't had Starbucks in forever,weary,sob
I bet,smirk,weary
this was for you,grin,sob
Let's go to Starbucks,smirk,yum
Just got mistaken for Wonder Woman. I bet this never happens to .,grin,heart_eyes
10 UNDERCOVER STARBUCKS DRINKS YOU NEED TO TRY,heart_eyes,blush
Subway,weary,yum
I'm just gunna go ahead and bet on in vl tonight.,flushed,grin
bring Aaliyah back I remember when I was 4 and 5 dancing in front of the tv to her videos on BET. I wanted to be her and As…,sob,heart_eyes
"I bet. I love him so much too ! Like it's crazy, he's so addictive",heart_eyes,wink
Exactly,sob,blush
I want Starbucks,heart_eyes,weary
I'm willing to bet he did!! Did you use this song Ashish ?,grin,blush
Okay I officially make too many Starbucks runs but idc,yum,heart_eyes
cologne meaning Starbucks coffee,smirk,heart_eyes
She so bad,heart_eyes,sob
okay bet ️,relaxed,blush
Subway got the best cookies,weary,heart_eyes
Some starbucks sounds good rn,heart_eyes,yum
otw to starbucks with my new ride should i pick you up?,heart_eyes,weary
I want Starbucks,heart_eyes,weary
I bet this be you,sob,blush
i literally can only go 2 days without starbucks or coffee bean i'm addicted,sob,weary
Brotherly love on BET,heart_eyes,blush
Sick RT : Its weird as hell to think ppl who 6ft tall are only 6 subway sandwiches long,sob,weary
Bet I do,smirk,blush
you bet I am,blush,wink
"Want Wendy's , bdubs , McDonald's, dominos",sob,weary
I want Starbucks,heart_eyes,weary
You Gone Be Cute,heart_eyes,sob
I go to Walmart for one thing and come out with bags never fails ..,weary,sob
How this nigga get Starbucks and a phone in jail,sob,weary
Bet nobody that you been with even know you a freak,wink,yum
I want some Starbucks,yum,weary
update I got Starbucks,heart_eyes,blush
Wanna bet?,grin,smirk
Girls check my snap its tamaracharise ️ I bet I make you wet,relaxed,blush
Salted Caramel Mocha is back at Starbucks,yum,heart_eyes
Starbucks,grin,yum
wanna bet?,grin,smirk
them hoes bet not fw my juvie,wink,blush
I bet,blush,weary
Bet on the broncos and Vikings,grin,sob
current update: Ken wants to bring me to mcdonalds and buy me cookies #findyouaken,heart_eyes,weary
Starbucks,heart_eyes,yum
Me too and Starbucks,blush,weary
And I bet you would too lol,grin,wink
But of course!,grin,sob
I want some Starbucks,yum,weary
I bet it is,sob,wink
Craving Starbucks right now,sob,weary
Can someone bring me some Starbucks,sob,weary
I bet you did.,wink,weary
Someone take me to Starbucks,blush,sob
you getting me subway,heart_eyes,yum
When the barista at Starbucks tells you you're pretty &gt;&gt;,heart_eyes,sob
Meghan at subway,heart_eyes,yum
hopefully I get Starbucks,yum,weary
I bet her braid outs fire.,flushed,sob
Subway for lunch,heart_eyes,yum
lol bet needs a special one,wink,sob
Starbucks,grin,yum
Walmart tho,weary,flushed
Oh my ️,relaxed,heart_eyes
it's a bet,weary,smirk
I bet it is,weary,wink
I bet you are,blush,wink
Bet that up,sob,wink
Subway,grin,yum
you bet!!!,heart_eyes,grin
"Yes Fr , she's mine now ️",relaxed,wink
Dominos is the best,yum,heart_eyes
Selena you really asking for to much omg bet,heart_eyes,sob
"I wasn't there can't bet on that , but read it somewhere ,behind every rumor there is a little truth",blush,weary
I want Starbucks rn,heart_eyes,weary
lol bet. I miss that and mornings with Terrance,sob,weary
i bet,sob,weary
bet. &amp; food,weary,blush
bet it was Jonathan he was jel of their child,grin,sob
I bet she is,wink,weary
lol bet,grin,blush
bet I got you,smirk,blush
shout out to for sitting at Starbucks with me for 2 hours and helping me study,blush,weary
bet i don't,sob,blush
Starbucks before class,sob,heart_eyes
i bet,sob,weary
really want some Starbucks,weary,sob
i bet she is,sob,weary
Burger,grin,heart_eyes
and I bet you're gonna use Genji in the fight smh,smirk,sob
lmfaooo hoe stories are the bet stories,weary,sob
ooo bet,grin,weary
We are pregnant,heart_eyes,blush
Starbucks and Ugg boots,sob,heart_eyes
Another willtharapper mixtape I see coming outbet,wink,weary
Happy in Walmart,blush,sob
oh bet,blush,smirk
I bet you could!,wink,blush
you bet,smirk,wink
Subway surfers,sob,weary
I need some Starbucks,sob,weary
@ starbucks,yum,blush
aww bet it's on,grin,wink
Starbucks sounds so bomb rn,weary,heart_eyes
I just want Starbucks,yum,weary
okay bet! And your makeup be fye girl,heart_eyes,blush
bet that,heart_eyes,blush
Tomorrow,wink,heart_eyes
When your Starbucks is free I might marry this cashier,heart_eyes,blush
Mcdonalds,heart_eyes,yum
I want Starbucks,sob,weary
bet bet thanks ️,relaxed,blush
I bet so many bitches drool over him,weary,sob
lol bet needs a special one,wink,sob
FINALLY,weary,heart_eyes
10 UNDERCOVER STARBUCKS DRINKS YOU NEED TO TRY,heart_eyes,blush
Walmart got some bomb ass seedless watermelons lord,weary,sob
". I bet people on this hoe like ""look at this headass couple"" but fuck em",smirk,sob
Bye bye to your iowa bet,sob,blush
Starbucks,heart_eyes,yum
I want Starbucks,heart_eyes,weary
I'm craving Starbucks,heart_eyes,weary
lol bet,yum,blush
put that dick up in her pussy bet she feel it in her toes,wink,smirk
I bet ️,relaxed,weary
Let's bet,blush,smirk
bet it up,heart_eyes,wink
What do you order at Starbucks? I get the Cotton Candy Frappuccino,yum,weary
NO WAY I'm so excited,heart_eyes,sob
I just want starbucks,sob,weary
The white chocolate cranberry,heart_eyes,weary
Starbucks,heart_eyes,yum
"Her: ""okay daddy, come here"" Me: ""bet, I'm omw"" Her: ""too bad I'm not that easy"" Me:",yum,sob
I bet!,wink,blush
I bet dude! Good luck,sob,blush
big bet ️,relaxed,blush
you bet!!,blush,wink
I bet.,wink,smirk
#ICONFESS I'm lowkey addicted to starbucks,weary,heart_eyes
I got you,blush,yum
I bet you do,weary,smirk
Confession: I'm addicted/ obsessed with Starbucks.,grin,weary
McDonald's money,weary,sob
Ight bet,blush,smirk
I bet!! I'm glad️,relaxed,blush
I need some Starbucks,sob,weary
lol yes bet,sob,blush
Starbucks and chick fil a,sob,heart_eyes
lmao jus tell em ... I bet if it were some random chick people would say that's wack,grin,sob
Same,sob,weary
Bet on it,smirk,blush
You bet,blush,wink
This subway,heart_eyes,yum
Dead ass on my birthday bet,sob,blush
bet shawty that's our plan,wink,blush
@ Starbucks,grin,blush
I bet you are,smirk,wink
Subway sounds soooo good rn,heart_eyes,sob
subway calling my name,yum,weary
I bet you are,flushed,wink
bet that,smirk,blush
"lol that's a bet , I'm going come get you tomorrow",blush,wink
bet. btw i finished future diary and i was happy with the ending ️,relaxed,wink
Dr.Miamis adress,blush,sob
Wait what,flushed,weary
The next hoe that you love I bet I make that hoe my bitch,smirk,blush
that's yo best bet,blush,smirk
I bet she touched him every time,yum,sob
I want Starbucks,heart_eyes,weary
I bet it is,blush,wink
I want subway,yum,weary
McDonalds,sob,yum
She a Baddie,heart_eyes,sob
I bet you are,sob,wink
definitely,grin,wink
Someone bring me subway,blush,weary
We will leave here at 2PM! Then return again at 3PM,blush,sob
Can you tell what is the soap I'm going to make? I bet you know... #soap #soapcolor #micas…,wink,sob
Bet where u wanna go,blush,sob
current update: Ken wants to bring me to mcdonalds and buy me cookies #findyouaken,heart_eyes,weary
ok bet,yum,blush
You bet!,wink,blush
Bet I don't do shit for anyone anymore guarantee you that,blush,sob
Where's my dominos?,flushed,weary
bet say less,smirk,blush
9: A BITCH JUST WANTED A FUCKING MCFLURRY y'all broke my heart for real,weary,sob
I want subway,yum,weary
I want Starbucks,heart_eyes,weary
I love Mcdonalds but hopefully I can get this job at Chipotle,weary,sob
you bet,smirk,wink
Dont you just love it when your babe surprises you with Starbucks in the morning? I do!,heart_eyes,weary
If tracking devices was on iPhone headphones everytime i locate mine when they gone i bet one of the guys then took em,weary,sob
Bet you can't do it like me,grin,relaxed
I want Starbucks rn,heart_eyes,weary
Nak starbucks,weary,sob
I want Starbucks,heart_eyes,weary
Really craving Starbucks rn,weary,sob
me too,heart_eyes,weary
going to get subway w/,yum,weary
really want some starbucks,weary,sob
I bet #Oomf taste like pink starburst,yum,heart_eyes
Bet I do,smirk,blush
Fuck that new girl that you like so bad She not crazy like me i bet you like that..,heart_eyes,sob
Starbucks,blush,yum
ight bet ️,relaxed,smirk
Brotherly love on BET,grin,blush
Subway sounds lit rn,sob,yum
I want some Subway,sob,weary
"I bet the lady at Carl's is probably like, ""why Tf is this girl always buying food so late?""",blush,sob
shout out to for sitting at Starbucks with me for 2 hours and helping me study,blush,weary
females be having expensive ass makeup just to get smashed by a nigga with a Walmart wife beater,sob,weary
"I have the best bff ️ she brought me Starbucks, flowers, and balloons love u lots",relaxed,heart_eyes
SO BEAUTIFUL not even kidding when i say i shed a tear whilst looking at this.,heart_eyes,sob
Need subway,yum,weary
Bet bitch,wink,blush
I want some bbq chicken &amp; pineapple pizza from dominos with the ranch crust (it's good asffff ),yum,heart_eyes
I bet,blush,weary
Somebody bring me Starbucks,blush,weary
alright bet!,sob,smirk
I bet you do,wink,smirk
DOMINOS SELLING PATRIOTISM BY CELEBRATING GUESS WHAT? 11th Sep 1948; sorry Jinnah!,smirk,weary
Starbucks before class,blush,heart_eyes
that's a bet.,heart_eyes,smirk
I bet! ️,relaxed,blush
bet I'll be there,blush,wink
i bet,wink,weary
"Bet, lemme get one more amber alert",sob,wink
need starbucks,yum,weary
I need some Starbucks,sob,weary
Put another bitch in my position &amp; I bet she'll fold,smirk,relaxed
OMGGGGGG LOOK AT MEEEE,heart_eyes,sob
hell nah,weary,sob
Walmart,grin,heart_eyes
bet let me know!,sob,blush
"Nah, still doesn't make sense! Trust me...",smirk,blush
I bet .,grin,smirk
Bro lol,heart_eyes,sob
I bet you did,smirk,wink
Dr.Miamis adress,blush,sob
what,weary,flushed
I need Starbucks,sob,weary
McDonalds sweeet tea is the best sweet tea,yum,heart_eyes
I bet you are,sob,wink
Dominos is ordered,heart_eyes,smirk
I want subway,flushed,weary
I want Starbucks,sob,weary
Starbucks,heart_eyes,yum
you bet,heart_eyes,wink
I want some subway.,weary,yum
if you was my man!!! bet I'm about to,sob,blush
happy birthday bud I bet you're looking handsome,wink,sob
okay bet. ️,relaxed,sob
Starbucks sounds so good rn,heart_eyes,weary
ard bet,smirk,blush
lol bet,sob,blush
I want Starbucks,heart_eyes,weary
ard bet we really gonna be out,grin,blush
I bet he does Hope I can meet him someday!!! He seems like such a beautiful soul,blush,heart_eyes
I bet it is,smirk,wink
Bet that wasnt scripted,smirk,sob
Just got free Starbucks,blush,heart_eyes
Imma tell her not to let you in,grin,wink
I bet the people involved lived in building C. Couples over there stay having issues.,weary,blush
YOU BET I AM,yum,wink
"(at in Al Zour, Al Ahmadi)",heart_eyes,yum
"Good morning (@ Starbucks in Puebla, PUE)",grin,blush
I want Starbucks,heart_eyes,weary
I bet...lol,wink,sob
I bet,sob,weary
want,heart_eyes,weary
I bet you do lol,heart_eyes,wink
That's not funny I just did it in subway &amp; it's too early to even be drunk,weary,sob
Say no more,heart_eyes,smirk
I bet this how my daughter is going to be lmao I can't wait to have a daughter at least one lol,sob,blush
"Enough with the fast food places, there's plenty of those. I need a 24 hour Starbucks",sob,weary
Yay bet,grin,yum
ight bet,blush,smirk
Imma tell her not to let you in,grin,wink
starbucks,heart_eyes,yum
I want subway,sob,weary
Damn,smirk,flushed
that's a bet,smirk,blush
"willing to bet there is more sugar in corn, which as we know is bad for you",wink,sob
I Fucking Bet They Do,wink,sob
I Want Some Subway,yum,weary
That's me I always remember what gets everywhere,sob,blush
Ano mas bet mo? Fan of both fandoms,heart_eyes,sob
Really at the point where I'm about start making complaints about the workers at Starbucks &amp; Subway. I can't deal anymore,sob,weary
Bet U ready na,wink,blush
bet go look at our last convo,grin,sob
got my subway,blush,yum
Bet you can't guess where we are! Time for all the delicious food! Mmmmm who else is going this year?,wink,blush
I bet you have,smirk,wink
Naw my playa card gone get revoked I can't tell you,weary,blush
I want Starbucks,heart_eyes,weary
Starbucks sounds so good rn,yum,weary
Make out with Blake. I bet that would blow up.,sob,wink
starbucks,flushed,yum
I want Starbucks,sob,weary
I want subway,yum,weary
I bet your phone is popping,heart_eyes,sob
Listening to this granny gossip behind me in line at Walmart makes me miss my nana,heart_eyes,sob
i bet,blush,weary
aight bet,sob,blush
starbucks,weary,yum
I saw some videos about it but I bet the book will be waaay better. Thanks Georgy!,grin,blush
I bet you would,wink,smirk
Right,weary,sob
ok bet,sob,blush
Make me summmmm,weary,smirk
"wolfed it down I bet, I love a snickers. But in brownies",heart_eyes,sob
It's a bet,weary,smirk
I hope Walmart run out of madden games today,blush,sob
i bet,sob,weary
Bro I want some Subway,sob,weary
I really want a subway sandwich,weary,blush
McDonalds,heart_eyes,yum
happy birthday bud I bet you're looking handsome,wink,sob
bet lol,blush,grin
bet bet now hook me up with one of ya hgs,smirk,sob
bet shawty that's our plan,wink,blush
lets go to Starbucks,heart_eyes,grin
Bet that up,blush,wink
Bet lol,wink,grin
why thank you,heart_eyes,wink
Well done #SWNT on qualification! I bet your brother's proud (used to work with him),wink,sob
Really,weary,sob
this was for you,grin,sob
Bet you can't do it like this,wink,smirk
I bet...,wink,weary
okay bet,weary,relaxed
I bet you got hella hoes that night,sob,blush
I swear,heart_eyes,sob
"lmao ight bet , I'll bring the kool-aid",sob,blush
Craving a tea from Starbucks,sob,weary
I just want some Starbucks.,yum,weary
Making an emergency trip to,weary,heart_eyes
The person in the car in front of me at the drive thru bought me my coffees this morning ️ Remember to pay…,relaxed,blush
starbucks,sob,yum
i peep that new vid with kelly and maddy,smirk,sob
More #starbucks goodies for me #tobeapartner #PSL #cofeepassion,grin,heart_eyes
Too cute! Lucky girl! I bet she will be so loved!! ️️,relaxed,heart_eyes
I bet it did,sob,yum
DOMINOS SELLING PATRIOTISM BY CELEBRATING GUESS WHAT? 11th Sep 1948; sorry Jinnah!,smirk,weary
Starbucks,blush,yum
I need some Starbucks,yum,weary
these pumpkin spiced coffee's at Starbucks need to stay here all year,sob,heart_eyes
ok bet!,grin,yum
I bet you win best camp counselor every year,blush,sob
My life has meaning again,heart_eyes,sob
McDonalds money,weary,sob
